Ruta,Indice,Real,Imag
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,2,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,3,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,4,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,5,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,6,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,7,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,8,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,9,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,10,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,1,-0.009711526233326197,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,2,-0.011521148259185696,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,3,-0.005566992321041828,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,4,0.0004954042317642496,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,5,0.1250446765012187,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,6,-0.016692125121418065,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,7,-0.00573255464495433,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,8,2.923620491475853e-6,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,9,-0.0013373140489169723,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i14_second,10,0.07609762826027465,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,1,0.9884985842390416,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,2,0.9771908457938995,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,3,0.9757464756968538,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,4,0.9795374944931375,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,5,0.9451607106323017,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,6,0.9368547387729657,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,7,0.9407446130383798,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,8,0.9493410418236792,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,9,0.9555409453053456,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i15_second,10,0.9084219809463306,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,1,0.07103160996831258,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,2,0.14305869181472664,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,3,0.13539381414638763,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,4,0.08268679753555742,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,5,0.06327819233366874,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,6,0.12241470066617266,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,7,0.11041283980773052,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,8,0.05295858841038755,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,9,0.01351865373715472,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i16_second,10,0.056199355477986004,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,1,-0.009711526233329184,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,2,-0.01152114825918838,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,3,-0.0055669923210445805,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,4,0.000495404231761314,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,5,0.12504467650121723,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,6,-0.01669212512142067,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,7,-0.005732554644957067,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,8,2.9236204886053194e-6,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,9,-0.0013373140489199012,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i17_second,10,0.0760976282602737,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,1,-0.9884985842390414,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,2,-0.972264740447225,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,3,-0.9683397320415281,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,4,-0.9705690889035878,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,5,0.9409544870108792,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,6,-0.945214761549901,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,7,-0.9375225949834051,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,8,-0.9349215502170497,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,9,-0.9294421457964992,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i18_second,10,0.8940922962611241,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i19_second,1,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i19_second,2,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i19_second,3,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i19_second,4,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i19_second,5,0.0,0.0
